season,temp,category,waterproof,tone,gender,copy
4,13,shirt,0,4,f,0
4,0,shirt,0,4,f,1
4,25,shirt,0,4,f,1
4,25,shirt,0,4,f,1
3,25,shirt,0,4,f,0
1,25,shirt,0,0,f,1
1,25,shirt,0,1,f,1
1,25,shirt,0,2,f,1
1,25,shirt,0,3,f,0
0,25,shirt,0,0,f,0
0,25,shirt,0,1,f,1
0,25,shirt,0,2,f,1
0,25,shirt,0,3,f,1
2,25,shirt,0,4,f,0
3,25,shirt,0,4,f,0
4,13,shirt,0,4,f,0
4,13,shirt,0,4,f,1
4,1,shirt,0,4,f,1
0,13,shirt,0,0,f,0
1,13,shirt,0,0,f,1
0,13,shirt,0,1,f,0
1,13,shirt,0,1,f,1
0,13,shirt,0,2,f,0
1,13,shirt,0,2,f,1
0,13,shirt,0,3,f,0
1,13,shirt,0,3,f,1
2,13,shirt,0,0,f,0
3,13,shirt,0,0,f,1
2,13,shirt,0,1,f,0
3,13,shirt,0,1,f,1
2,13,shirt,0,2,f,0
3,13,shirt,0,2,f,1
2,13,shirt,0,3,f,0
3,13,shirt,0,3,f,1
2,0,shirt,0,4,f,0
3,0,shirt,0,4,f,1
0,13,shirt,0,0,f,0
1,13,shirt,0,0,f,1
0,13,shirt,0,1,f,0
1,13,shirt,0,1,f,1
0,13,shirt,0,2,f,0
1,13,shirt,0,2,f,1
0,13,shirt,0,3,f,0
1,13,shirt,0,3,f,1
2,0,shirt,0,0,f,0
3,0,shirt,0,0,f,1
2,0,shirt,0,1,f,1
3,0,shirt,0,1,f,1
2,0,shirt,0,2,f,1
3,0,shirt,0,2,f,1
2,0,shirt,0,3,f,1
3,0,shirt,0,3,f,1
3,13,shirt,0,4,f,0
3,0,shirt,0,4,f,0
4,5,shirt,0,4,f,0
0,50,pant,0,0,f,0
1,50,pant,0,0,f,1
0,50,pant,0,1,f,1
1,50,pant,0,1,f,1
0,50,pant,0,2,f,1
1,50,pant,0,2,f,1
0,50,pant,0,3,f,1
1,50,pant,0,3,f,1
3,50,pant,0,4,f,0
0,50,pant,0,4,f,1
1,50,pant,0,4,f,1
0,50,pant,0,4,f,0
1,50,pant,0,4,f,1
4,50,pant,0,4,f,1
2,50,pant,0,4,f,1
3,50,pant,0,4,f,0
2,50,pant,0,4,f,1
3,50,pant,0,4,f,1
3,3,pant,0,4,f,1
3,3,pant,0,4,f,0
3,3,pant,0,4,f,0
3,3,pant,0,4,f,0
3,3,pant,0,4,f,0
2,3,pant,0,4,f,0
0,3,pant,0,4,f,0
2,15,pant,0,4,f,1
3,15,pant,0,4,f,1
1,15,pant,0,4,f,1
0,15,pant,0,4,f,1
2,15,pant,0,4,f,1
3,15,pant,0,4,f,0
0,15,pant,0,4,f,0
1,15,pant,0,4,f,1
4,20,pant,0,4,f,0
2,20,pant,0,4,f,0
0,20,pant,0,4,f,0
0,15,pant,0,4,f,0
1,15,pant,0,4,f,1
4,5,pant,0,4,f,0
1,3,pant,0,4,f,0
1,50,pant,0,4,f,0
2,3,pant,0,4,f,0
4,50,pant,0,4,f,0
3,5,pant,1,4,f,0
4,20,pant,0,4,f,0
3,0,jacket,1,4,f,0
0,0,jacket,1,4,f,0
2,0,jacket,1,0,f,0
2,0,jacket,1,1,f,1
2,0,jacket,1,2,f,1
2,0,jacket,1,3,f,1
1,0,jacket,1,0,f,0
1,0,jacket,1,1,f,1
1,0,jacket,1,2,f,1
1,0,jacket,1,3,f,1
4,0,jacket,1,0,f,0
0,0,jacket,1,0,f,0
1,0,jacket,1,0,f,1
0,0,jacket,1,1,f,1
1,0,jacket,1,1,f,1
0,0,jacket,1,2,f,1
1,0,jacket,1,2,f,1
0,0,jacket,1,3,f,1
1,0,jacket,1,3,f,1
4,3,jacket,1,4,f,0
4,3,jacket,0,4,f,0
4,3,jacket,1,4,f,0
4,3,jacket,1,4,f,0
3,0,jacket,1,4,f,0
4,-5,jacket,1,4,f,0
4,0,jacket,1,4,f,0
4,0,jacket,1,4,f,0
4,0,jacket,1,4,f,0
4,-5,jacket,1,4,f,0
0,5,jacket,1,0,f,0
0,5,jacket,1,1,f,1
0,5,jacket,1,2,f,1
0,5,jacket,1,3,f,1
1,-5,jacket,1,0,f,0
1,-5,jacket,1,1,f,1
1,-5,jacket,1,2,f,1
1,-5,jacket,1,3,f,1
2,0,jacket,1,0,f,0
2,0,jacket,1,1,f,1
2,0,jacket,1,2,f,1
2,0,jacket,1,3,f,1
2,0,jacket,1,4,f,0
3,0,jacket,1,4,f,0
3,-5,jacket,1,4,f,0
0,10,jacket,0,4,f,0
1,10,jacket,0,4,f,1
2,10,jacket,0,4,f,1
3,10,jacket,0,4,f,1
4,5,jacket,1,4,f,0
4,-5,jacket,1,4,f,0
1,0,jacket,1,0,f,0
1,0,jacket,1,1,f,1
1,0,jacket,1,2,f,1
1,0,jacket,1,3,f,1
4,3,jacket,0,4,f,1
4,0,jacket,1,4,f,0
4,0,jacket,1,4,f,0